col	row	z
26	46	0.132413793
27	46	0.096206897
28	46	0.062068966
29	46	0.03
0	47	1.8
1	47	1.71
2	47	1.622068966
3	47	1.536206897
4	47	1.452413793
5	47	1.370689655
6	47	1.291034483
7	47	1.213448276
8	47	1.137931034
9	47	1.064482759
10	47	0.993103448
11	47	0.923793103
12	47	0.856551724
13	47	0.79137931
14	47	0.728275862
15	47	0.667241379
16	47	0.608275862
17	47	0.55137931
18	47	0.496551724
19	47	0.443793103
20	47	0.393103448
21	47	0.344482759
22	47	0.297931034
23	47	0.253448276
24	47	0.211034483
25	47	0.170689655
26	47	0.132413793
27	47	0.096206897
28	47	0.062068966
29	47	0.03
0	48	1.8
1	48	1.71
2	48	1.622068966
3	48	1.536206897
4	48	1.452413793
5	48	1.370689655
6	48	1.291034483
7	48	1.213448276
8	48	1.137931034
9	48	1.064482759
10	48	0.993103448
11	48	0.923793103
12	48	0.856551724
13	48	0.79137931
14	48	0.728275862
15	48	0.667241379
16	48	0.608275862
17	48	0.55137931
18	48	0.496551724
19	48	0.443793103
20	48	0.393103448
21	48	0.344482759
22	48	0.297931034
23	48	0.253448276
24	48	0.211034483
25	48	0.170689655
26	48	0.132413793
27	48	0.096206897
28	48	0.062068966
29	48	0.03
0	49	1.8
1	49	1.71
2	49	1.622068966
3	49	1.536206897
4	49	1.452413793
5	49	1.370689655
6	49	1.291034483
7	49	1.213448276
8	49	1.137931034
9	49	1.064482759
10	49	0.993103448
11	49	0.923793103
12	49	0.856551724
13	49	0.79137931
14	49	0.728275862
15	49	0.667241379
16	49	0.608275862
17	49	0.55137931
18	49	0.496551724
19	49	0.443793103
20	49	0.393103448
21	49	0.344482759
22	49	0.297931034
23	49	0.253448276
24	49	0.211034483
25	49	0.170689655
26	49	0.132413793
27	49	0.096206897
28	49	0.062068966
29	49	0.03
