col	row	z
15	9	0.667241379
16	9	0.608275862
17	9	0.55137931
18	9	0.496551724
19	9	0.443793103
20	9	0.393103448
21	9	0.344482759
22	9	0.297931034
23	9	0.253448276
24	9	0.211034483
25	9	0.170689655
26	9	0.132413793
27	9	0.096206897
28	9	0.062068966
29	9	0.03
0	10	1.8
1	10	1.71
2	10	1.622068966
3	10	1.536206897
4	10	1.452413793
5	10	1.370689655
6	10	1.291034483
7	10	1.213448276
8	10	1.137931034
9	10	1.064482759
10	10	0.993103448
11	10	0.923793103
12	10	0.856551724
13	10	0.79137931
14	10	0.728275862
15	10	0.667241379
16	10	0.608275862
17	10	0.55137931
18	10	0.496551724
19	10	0.443793103
20	10	0.393103448
21	10	0.344482759
22	10	0.297931034
23	10	0.253448276
24	10	0.211034483
25	10	0.170689655
26	10	0.132413793
27	10	0.096206897
28	10	0.062068966
29	10	0.03
0	11	1.8
1	11	1.71
2	11	1.622068966
3	11	1.536206897
4	11	1.452413793
5	11	1.370689655
6	11	1.291034483
7	11	1.213448276
8	11	1.137931034
9	11	1.064482759
10	11	0.993103448
11	11	0.923793103
12	11	0.856551724
13	11	0.79137931
14	11	0.728275862
15	11	0.667241379
16	11	0.608275862
17	11	0.55137931
18	11	0.496551724
19	11	0.443793103
20	11	0.393103448
21	11	0.344482759
22	11	0.297931034
23	11	0.253448276
24	11	0.211034483
25	11	0.170689655
26	11	0.132413793
27	11	0.096206897
28	11	0.062068966
29	11	0.03
0	12	1.8
1	12	1.71
2	12	1.622068966
3	12	1.536206897
4	12	1.452413793
5	12	1.370689655
6	12	1.291034483
7	12	1.213448276
8	12	1.137931034
9	12	1.064482759
10	12	0.993103448
11	12	0.923793103
12	12	0.856551724
13	12	0.79137931
14	12	0.728275862
15	12	0.667241379
16	12	0.608275862
17	12	0.55137931
18	12	0.496551724
19	12	0.443793103
20	12	0.393103448
21	12	0.344482759
22	12	0.297931034
23	12	0.253448276
24	12	0.211034483
25	12	0.170689655
26	12	0.132413793
27	12	0.096206897
28	12	0.062068966
29	12	0.03
0	13	1.8
1	13	1.71
2	13	1.622068966
3	13	1.536206897
4	13	1.452413793
5	13	1.370689655
6	13	1.291034483
7	13	1.213448276
8	13	1.137931034
9	13	1.064482759
10	13	0.993103448
11	13	0.923793103
12	13	0.856551724
13	13	0.79137931
14	13	0.728275862
15	13	0.667241379
16	13	0.608275862
17	13	0.55137931
18	13	0.496551724
19	13	0.443793103
20	13	0.393103448
21	13	0.344482759
22	13	0.297931034
23	13	0.253448276
24	13	0.211034483
25	13	0.170689655
26	13	0.132413793
27	13	0.096206897
28	13	0.062068966
29	13	0.03
0	14	1.8
1	14	1.71
2	14	1.622068966
3	14	1.536206897
4	14	1.452413793
5	14	1.370689655
6	14	1.291034483
7	14	1.213448276
8	14	1.137931034
9	14	1.064482759
10	14	0.993103448
11	14	0.923793103
12	14	0.856551724
13	14	0.79137931
14	14	0.728275862
15	14	0.667241379
16	14	0.608275862
17	14	0.55137931
18	14	0.496551724
19	14	0.443793103
20	14	0.393103448
21	14	0.344482759
22	14	0.297931034
23	14	0.253448276
24	14	0.211034483
25	14	0.170689655
26	14	0.132413793
27	14	0.096206897
28	14	0.062068966
29	14	0.03
0	15	1.8
1	15	1.71
2	15	1.622068966
3	15	1.536206897
4	15	1.452413793
5	15	1.370689655
6	15	1.291034483
7	15	1.213448276
8	15	1.137931034
9	15	1.064482759
10	15	0.993103448
11	15	0.923793103
12	15	0.856551724
13	15	0.79137931
14	15	0.728275862
15	15	0.667241379
16	15	0.608275862
17	15	0.55137931
18	15	0.496551724
19	15	0.443793103
20	15	0.393103448
21	15	0.344482759
22	15	0.297931034
23	15	0.253448276
24	15	0.211034483
25	15	0.170689655
26	15	0.132413793
27	15	0.096206897
28	15	0.062068966
29	15	0.03
0	16	1.8
1	16	1.71
2	16	1.622068966
3	16	1.536206897
4	16	1.452413793
5	16	1.370689655
6	16	1.291034483
7	16	1.213448276
8	16	1.137931034
9	16	1.064482759
10	16	0.993103448
11	16	0.923793103
12	16	0.856551724
13	16	0.79137931
14	16	0.728275862
15	16	0.667241379
16	16	0.608275862
17	16	0.55137931
18	16	0.496551724
19	16	0.443793103
20	16	0.393103448
21	16	0.344482759
22	16	0.297931034
23	16	0.253448276
24	16	0.211034483
25	16	0.170689655
26	16	0.132413793
27	16	0.096206897
28	16	0.062068966
29	16	0.03
0	17	1.8
1	17	1.71
2	17	1.622068966
3	17	1.536206897
4	17	1.452413793
5	17	1.370689655
6	17	1.291034483
7	17	1.213448276
8	17	1.137931034
9	17	1.064482759
10	17	0.993103448
11	17	0.923793103
12	17	0.856551724
13	17	0.79137931
14	17	0.728275862
15	17	0.667241379
16	17	0.608275862
17	17	0.55137931
18	17	0.496551724
19	17	0.443793103
20	17	0.393103448
21	17	0.344482759
22	17	0.297931034
23	17	0.253448276
24	17	0.211034483
25	17	0.170689655
26	17	0.132413793
27	17	0.096206897
28	17	0.062068966
29	17	0.03
0	18	1.8
1	18	1.71
2	18	1.622068966
3	18	1.536206897
4	18	1.452413793
5	18	1.370689655
6	18	1.291034483
7	18	1.213448276
8	18	1.137931034
9	18	1.064482759
10	18	0.993103448
11	18	0.923793103
12	18	0.856551724
13	18	0.79137931
14	18	0.728275862
15	18	0.667241379
16	18	0.608275862
17	18	0.55137931
18	18	0.496551724
19	18	0.443793103
20	18	0.393103448
21	18	0.344482759
22	18	0.297931034
23	18	0.253448276
24	18	0.211034483
25	18	0.170689655
26	18	0.132413793
27	18	0.096206897
28	18	0.062068966
29	18	0.03
0	19	1.8
1	19	1.71
2	19	1.622068966
3	19	1.536206897
4	19	1.452413793
5	19	1.370689655
6	19	1.291034483
7	19	1.213448276
8	19	1.137931034
9	19	1.064482759
10	19	0.993103448
11	19	0.923793103
12	19	0.856551724
13	19	0.79137931
14	19	0.728275862
15	19	0.667241379
16	19	0.608275862
17	19	0.55137931
18	19	0.496551724
19	19	0.443793103
20	19	0.393103448
21	19	0.344482759
22	19	0.297931034
23	19	0.253448276
24	19	0.211034483
25	19	0.170689655
26	19	0.132413793
27	19	0.096206897
28	19	0.062068966
29	19	0.03
0	20	1.8
1	20	1.71
2	20	1.622068966
3	20	1.536206897
4	20	1.452413793
5	20	1.370689655
6	20	1.291034483
7	20	1.213448276
8	20	1.137931034
9	20	1.064482759
10	20	0.993103448
11	20	0.923793103
12	20	0.856551724
13	20	0.79137931
14	20	0.728275862
15	20	0.667241379
16	20	0.608275862
17	20	0.55137931
18	20	0.496551724
19	20	0.443793103
20	20	0.393103448
21	20	0.344482759
22	20	0.297931034
23	20	0.253448276
24	20	0.211034483
25	20	0.170689655
26	20	0.132413793
27	20	0.096206897
28	20	0.062068966
29	20	0.03
0	21	1.8
1	21	1.71
2	21	1.622068966
3	21	1.536206897
4	21	1.452413793
5	21	1.370689655
6	21	1.291034483
7	21	1.213448276
8	21	1.137931034
9	21	1.064482759
10	21	0.993103448
11	21	0.923793103
12	21	0.856551724
13	21	0.79137931
14	21	0.728275862
15	21	0.667241379
16	21	0.608275862
17	21	0.55137931
18	21	0.496551724
19	21	0.443793103
20	21	0.393103448
21	21	0.344482759
22	21	0.297931034
23	21	0.253448276
24	21	0.211034483
25	21	0.170689655
26	21	0.132413793
27	21	0.096206897
28	21	0.062068966
29	21	0.03
0	22	1.8
1	22	1.71
2	22	1.622068966
3	22	1.536206897
4	22	1.452413793
5	22	1.370689655
6	22	1.291034483
7	22	1.213448276
8	22	1.137931034
9	22	1.064482759
10	22	0.993103448
11	22	0.923793103
12	22	0.856551724
13	22	0.79137931
14	22	0.728275862
15	22	0.667241379
16	22	0.608275862
17	22	0.55137931
18	22	0.496551724
19	22	0.443793103
20	22	0.393103448
21	22	0.344482759
22	22	0.297931034
23	22	0.253448276
24	22	0.211034483
25	22	0.170689655
26	22	0.132413793
27	22	0.096206897
28	22	0.062068966
29	22	0.03
0	23	1.8
1	23	1.71
2	23	1.622068966
3	23	1.536206897
4	23	1.452413793
5	23	1.370689655
6	23	1.291034483
7	23	1.213448276
8	23	1.137931034
9	23	1.064482759
10	23	0.993103448
11	23	0.923793103
12	23	0.856551724
13	23	0.79137931
14	23	0.728275862
15	23	0.667241379
16	23	0.608275862
17	23	0.55137931
18	23	0.496551724
19	23	0.443793103
20	23	0.393103448
21	23	0.344482759
22	23	0.297931034
23	23	0.253448276
24	23	0.211034483
25	23	0.170689655
26	23	0.132413793
27	23	0.096206897
28	23	0.062068966
29	23	0.03
0	24	1.8
1	24	1.71
2	24	1.622068966
3	24	1.536206897
4	24	1.452413793
5	24	1.370689655
6	24	1.291034483
7	24	1.213448276
8	24	1.137931034
9	24	1.064482759
10	24	0.993103448
11	24	0.923793103
12	24	0.856551724
13	24	0.79137931
14	24	0.728275862
15	24	0.667241379
16	24	0.608275862
17	24	0.55137931
18	24	0.496551724
19	24	0.443793103
20	24	0.393103448
21	24	0.344482759
22	24	0.297931034
23	24	0.253448276
24	24	0.211034483
25	24	0.170689655
26	24	0.132413793
27	24	0.096206897
28	24	0.062068966
29	24	0.03
0	25	1.8
1	25	1.71
2	25	1.622068966
3	25	1.536206897
4	25	1.452413793
5	25	1.370689655
6	25	1.291034483
7	25	1.213448276
8	25	1.137931034
9	25	1.064482759
10	25	0.993103448
11	25	0.923793103
12	25	0.856551724
13	25	0.79137931
14	25	0.728275862
15	25	0.667241379
16	25	0.608275862
17	25	0.55137931
18	25	0.496551724
19	25	0.443793103
20	25	0.393103448
21	25	0.344482759
22	25	0.297931034
23	25	0.253448276
24	25	0.211034483
25	25	0.170689655
26	25	0.132413793
27	25	0.096206897
28	25	0.062068966
29	25	0.03
0	26	1.8
1	26	1.71
2	26	1.622068966
3	26	1.536206897
4	26	1.452413793
5	26	1.370689655
6	26	1.291034483
7	26	1.213448276
8	26	1.137931034
9	26	1.064482759
10	26	0.993103448
11	26	0.923793103
12	26	0.856551724
13	26	0.79137931
14	26	0.728275862
15	26	0.667241379
16	26	0.608275862
17	26	0.55137931
18	26	0.496551724
19	26	0.443793103
20	26	0.393103448
21	26	0.344482759
22	26	0.297931034
23	26	0.253448276
24	26	0.211034483
25	26	0.170689655
26	26	0.132413793
27	26	0.096206897
28	26	0.062068966
29	26	0.03
0	27	1.8
1	27	1.71
2	27	1.622068966
3	27	1.536206897
4	27	1.452413793
5	27	1.370689655
6	27	1.291034483
7	27	1.213448276
8	27	1.137931034
9	27	1.064482759
10	27	0.993103448
11	27	0.923793103
12	27	0.856551724
13	27	0.79137931
14	27	0.728275862
15	27	0.667241379
16	27	0.608275862
17	27	0.55137931
18	27	0.496551724
19	27	0.443793103
20	27	0.393103448
21	27	0.344482759
22	27	0.297931034
23	27	0.253448276
24	27	0.211034483
25	27	0.170689655
26	27	0.132413793
27	27	0.096206897
28	27	0.062068966
29	27	0.03
0	28	1.8
1	28	1.71
2	28	1.622068966
3	28	1.536206897
4	28	1.452413793
5	28	1.370689655
6	28	1.291034483
7	28	1.213448276
8	28	1.137931034
9	28	1.064482759
10	28	0.993103448
11	28	0.923793103
12	28	0.856551724
13	28	0.79137931
14	28	0.728275862
15	28	0.667241379
16	28	0.608275862
17	28	0.55137931
18	28	0.496551724
19	28	0.443793103
20	28	0.393103448
21	28	0.344482759
22	28	0.297931034
23	28	0.253448276
24	28	0.211034483
25	28	0.170689655
